NumerKartyCzlonkowskiej,NumerSali,DataZajec,Godzina,Ocena,Komentarz
MCANHY3324,5,2022-04-27,16:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAGO2945,7,2024-07-05,06:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCLEKU5386,4,2022-11-18,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCAUDR7213,3,2025-06-30,12:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCANEK8614,5,2022-05-29,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMIPO6539,3,2023-03-15,18:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCAUDR7213,2,2025-04-04,18:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCIGWA4480,8,2023-06-25,10:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCPIME7311,4,2022-01-23,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJOKU9075,2,2024-06-28,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCFIPI8666,4,2022-11-18,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCGALI8305,8,2023-12-25,06:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAGO2945,7,2024-04-22,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMAGO2945,2,2025-08-16,10:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCLIKA5395,7,2024-04-22,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCMOPO7575,7,2024-07-05,06:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMIPO6539,4,2024-07-31,16:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKOKL4817,2,2022-10-25,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANKY4743,3,2023-03-15,18:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCKOKL4817,5,2022-05-29,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJOKU9075,1,2022-06-08,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCPIMA4013,8,2023-11-02,16:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCJOKU9075,8,2024-08-30,16:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCBIUS2720,6,2022-03-05,06:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCANEK8614,2,2025-04-04,18:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCPIMA4013,4,2022-01-23,18:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCLEKU5386,6,2024-12-11,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMOCE7714,5,2024-01-20,08:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIME7311,2,2025-08-16,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCLEKU5386,7,2024-04-22,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKOZO2811,2,2023-07-26,16:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMAKL4879,5,2024-01-20,08:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAPA6704,3,2025-09-19,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAKL4879,5,2022-05-29,20:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCGALI8305,2,2024-06-28,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCJADU9144,7,2024-04-22,20:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMOPO7575,3,2024-04-30,08:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKLKU7759,2,2022-10-25,16:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAGO2945,6,2024-12-11,06:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCELBI8129,8,2023-12-25,06:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMAGO2945,2,2024-06-28,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCKOKL4817,2,2022-04-25,10:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCPIMA4013,5,2022-05-29,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCGALI8305,1,2025-04-01,12:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKRZA3670,5,2023-05-22,20:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKASI9276,8,2023-06-25,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCELBI8129,1,2022-06-08,20:00,,brak komentarza
MCMAKL4879,6,2022-03-05,06:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCGALI8305,2,2023-07-26,16:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMADE7641,2,2025-08-16,10:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMIPO6539,3,2025-06-30,12:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCLEKU5386,8,2025-10-11,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCDAFI7093,5,2022-05-29,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCNARO3680,2,2024-06-28,20:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKOZO2811,8,2023-11-02,16:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMOPO7575,8,2025-10-11,20:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMIPA1810,8,2025-10-11,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANHY3324,1,2025-04-01,12:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCAUDR7213,2,2022-10-25,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKASI9276,2,2024-06-28,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMAGO2945,8,2025-10-11,20:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKOZO2811,2,2025-04-04,18:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMAGO2945,5,2022-04-27,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANKY4743,6,2025-07-23,12:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCLIKA5395,6,2024-12-11,06:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCLEKU5386,8,2023-06-25,10:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKRZA3670,7,2024-07-05,06:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMIPA1810,5,2022-04-27,16:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMADE7641,6,2025-07-23,12:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCDAFI7093,1,2025-04-01,12:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCIGWA4480,5,2022-04-27,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANHY3324,2,2022-04-25,10:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCKLKU7759,2,2025-04-04,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKOZO2811,2,2025-08-16,10:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCJADU9144,3,2025-06-30,12:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMAGO2945,3,2025-09-19,18:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCLIKA5395,6,2022-03-05,06:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMIPO6539,6,2025-07-23,12:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCPIMA4013,6,2024-12-11,06:00,,brak komentarza
MCKASI9276,8,2023-12-25,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCBIUS2720,7,2024-07-05,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCJADU9144,3,2024-04-30,08:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCANKY4743,5,2022-04-27,16:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCKLKU7759,8,2023-06-25,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCFIPI8666,6,2024-12-11,06:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCKOZO2811,6,2025-07-23,12:00,,brak komentarza
MCMAKL4879,3,2023-03-15,18:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMADE7641,8,2023-06-25,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCAUDR7213,8,2023-11-02,16:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCIGWA4480,8,2023-12-25,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCJADU9144,2,2025-08-16,10:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCLIKA5395,3,2023-03-15,18:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMOCE7714,5,2022-05-29,20:00,,brak komentarza
MCANEK8614,8,2023-11-02,16:00,,brak komentarza
MCLEKU5386,2,2024-06-28,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMAGO2945,3,2023-03-15,18:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKOZO2811,5,2023-05-22,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKASI9276,2,2022-10-25,16:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMAKL4879,7,2024-07-05,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCDAFI7093,2,2025-08-16,10:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMIPA1810,6,2025-07-23,12:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCANKY4743,2,2023-07-26,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKRZA3670,8,2023-06-25,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCMADE7641,4,2025-05-25,20:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCDAFI7093,4,2022-11-18,10:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCPIMA4013,5,2024-01-20,08:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKRZA3670,2,2025-04-04,18:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCANHY3324,8,2023-06-25,10:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJADU9144,4,2025-05-25,20:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCFIPI8666,8,2024-08-30,16:00,,brak komentarza
MCIGWA4480,2,2022-10-25,16:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCDAFI7093,3,2025-06-30,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCANEK8614,1,2022-06-08,20:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCPIMA4013,1,2022-06-08,20:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMAKL4879,2,2025-04-04,18:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKRZA3670,2,2022-10-25,16:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCLEKU5386,4,2024-07-31,16:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKRZA3670,2,2025-08-16,10:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCKOKL4817,6,2024-12-11,06:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCLEKU5386,2,2023-07-26,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMAGO2945,4,2022-01-23,18:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCJADU9144,4,2022-11-18,10:00,,brak komentarza
MCKRZA3670,8,2023-11-02,16:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCKOZO2811,5,2022-05-29,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIME7311,3,2025-09-19,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMIPA1810,3,2025-09-19,18:00,,brak komentarza
MCLEKU5386,1,2025-04-01,12:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKRZA3670,6,2025-07-23,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCKRZA3670,6,2022-03-05,06:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKOKL4817,4,2022-01-23,18:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCAUDR7213,8,2023-06-25,10:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCKRZA3670,5,2024-01-20,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKOZO2811,6,2024-12-11,06:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIME7311,3,2023-03-15,18:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMOCE7714,2,2025-08-16,10:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKOKL4817,8,2023-12-25,06:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCKLKU7759,6,2024-12-11,06:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANKY4743,8,2025-10-11,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANHY3324,1,2022-06-08,20:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCMIPO6539,4,2022-11-18,10:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIME7311,3,2025-06-30,12:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCLIKA5395,4,2024-07-31,16:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCANEK8614,6,2022-03-05,06:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKOZO2811,3,2025-06-30,12:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMAKL4879,4,2024-07-31,16:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCMIPO6539,4,2025-05-25,20:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCANKY4743,8,2023-12-25,06:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCJADU9144,8,2025-10-11,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCJOKU9075,7,2024-04-22,20:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKASI9276,8,2025-10-11,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMADE7641,7,2024-04-22,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCBIUS2720,5,2024-01-20,08:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMOCE7714,8,2024-08-30,16:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCNARO3680,5,2024-01-20,08:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANEK8614,2,2025-08-16,10:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMADE7641,6,2022-03-05,06:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCGALI8305,6,2024-12-11,06:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCBIUS2720,4,2025-05-25,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCANEK8614,8,2024-08-30,16:00,,brak komentarza
MCANKY4743,2,2024-06-28,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCIGWA4480,6,2025-07-23,12:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKAPA6704,5,2023-05-22,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCFIPI8666,5,2024-01-20,08:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCLIKA5395,3,2025-09-19,18:00,,brak komentarza
MCKLKU7759,8,2024-08-30,16:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCNARO3680,7,2024-04-22,20:00,,brak komentarza
MCANKY4743,7,2024-07-05,06:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCGALI8305,2,2025-08-16,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCANEK8614,2,2024-06-28,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCGALI8305,5,2022-05-29,20:00,,brak komentarza
MCKAPA6704,2,2025-04-04,18:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCMADE7641,3,2023-03-15,18:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCANHY3324,8,2023-12-25,06:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCANKY4743,8,2023-06-25,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMIPA1810,8,2023-12-25,06:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKAPA6704,2,2022-10-25,16:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMIPA1810,2,2024-06-28,20:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMADE7641,5,2022-05-29,20:00,,brak komentarza
MCJOKU9075,5,2023-05-22,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCKOKL4817,2,2025-04-04,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCANKY4743,3,2024-04-30,08:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCGALI8305,4,2022-01-23,18:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCPIME7311,6,2022-03-05,06:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCJOKU9075,8,2023-06-25,10:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCPIME7311,7,2024-07-05,06:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMIPA1810,4,2024-07-31,16:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCNARO3680,4,2024-07-31,16:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCIGWA4480,7,2024-04-22,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCANHY3324,3,2023-03-15,18:00,,brak komentarza
MCPIME7311,1,2025-04-01,12:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKRZA3670,3,2025-09-19,18:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCAUDR7213,6,2024-12-11,06:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCIGWA4480,4,2022-01-23,18:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMIPA1810,5,2023-05-22,20:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCAUDR7213,4,2022-01-23,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCELBI8129,1,2025-04-01,12:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMIPA1810,8,2023-11-02,16:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCBIUS2720,2,2023-07-26,16:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCLIKA5395,2,2022-10-25,16:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCMOPO7575,3,2025-09-19,18:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCANHY3324,2,2023-07-26,16:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCFIPI8666,1,2025-04-01,12:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCGALI8305,2,2022-10-25,16:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMADE7641,4,2022-11-18,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCELBI8129,4,2025-05-25,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIME7311,5,2022-04-27,16:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMIPA1810,4,2022-01-23,18:00,,brak komentarza
MCIGWA4480,2,2023-07-26,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCBIUS2720,4,2022-11-18,10:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKRZA3670,3,2023-03-15,18:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKASI9276,1,2025-04-01,12:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMIPO6539,2,2025-08-16,10:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKASI9276,5,2024-01-20,08:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCANEK8614,5,2024-01-20,08:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMOCE7714,4,2022-11-18,10:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCNARO3680,1,2022-06-08,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKAPA6704,5,2024-01-20,08:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCAUDR7213,7,2024-07-05,06:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKOKL4817,4,2024-07-31,16:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCDAFI7093,5,2023-05-22,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
