NumerKartyCzlonkowskiej,NumerSali,DataZajec,Godzina,Ocena,Komentarz
MCEMGR8096,7,2023-05-08,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMALA5804,3,2024-06-15,06:00,,brak komentarza
MCINDA9777,1,2022-09-29,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCGUWO5365,8,2022-01-02,18:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCJELA6854,6,2024-03-03,08:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCJELA6854,5,2024-10-21,18:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCKOSU5349,8,2025-09-21,10:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCWIFR7199,3,2024-04-20,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCARKA3268,8,2022-01-02,18:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKOSU5349,8,2022-01-02,18:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCCYKA4128,7,2024-10-23,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCWIFR7199,7,2023-05-08,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMAGA1396,4,2024-05-20,18:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCJELA6854,7,2023-05-08,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCELLI7149,4,2024-02-03,18:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCKAJA4327,5,2022-05-09,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCARKA3268,3,2024-04-20,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCERST2004,4,2022-10-12,08:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCMAGA1396,4,2024-02-03,18:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMASE7757,2,2023-12-01,18:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCIDBA3843,3,2025-03-28,06:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMAKI1955,4,2022-10-12,08:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCPIWI4136,5,2025-04-14,16:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCANDA1409,2,2023-03-07,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCMIFE5496,3,2024-04-20,10:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCGUWO5365,7,2024-10-23,20:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCINDA9777,3,2024-04-20,10:00,,brak komentarza
MCBAOS8378,3,2025-03-28,06:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAKI1955,5,2024-10-21,18:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCBAOS8378,4,2022-03-23,20:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCJOPO9842,5,2024-01-22,06:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANDA1409,8,2024-02-24,20:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCARGO2827,4,2022-03-23,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMAGA1396,2,2023-03-07,20:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCBIBU9931,3,2025-03-28,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCBAOS8378,5,2025-04-14,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMALA5804,4,2022-03-23,20:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMALA5804,3,2024-04-20,10:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCKAJA4327,8,2024-02-24,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCELLI7149,2,2023-12-01,18:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCJOPO9842,7,2024-12-18,18:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMIFE5496,2,2023-12-01,18:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCNEFO7895,8,2022-12-09,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMIFE5496,4,2024-11-20,12:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCPIHE7442,3,2024-06-15,06:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCBAOS8378,4,2022-10-12,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKOSU5349,7,2024-12-18,18:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCNEFO7895,4,2024-02-03,18:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCGRMA7751,4,2024-11-20,12:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKOSU5349,5,2024-10-21,18:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCJELA6854,3,2024-01-31,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCARGO2827,3,2025-03-28,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCGAKY5838,5,2025-08-22,10:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCANDA1409,3,2024-06-15,06:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCNEFO7895,8,2024-02-24,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCARGO2827,5,2022-05-09,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJELA6854,4,2022-10-12,08:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCWIWI7771,8,2024-09-05,12:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCGAKY5838,4,2022-10-12,08:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCGRMA7751,7,2024-12-18,18:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCNEFO7895,7,2023-05-08,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCALDU8256,1,2022-09-29,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCERST2004,1,2022-09-29,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCELLI7149,8,2022-01-02,18:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCALDU8256,8,2024-09-05,12:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMASE7757,5,2025-08-22,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCGRMA7751,1,2022-09-29,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCIDBA3843,8,2024-02-24,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCJELA6854,8,2022-01-02,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCWIWI7771,4,2024-05-20,18:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCEMGR8096,8,2024-09-05,12:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMASE7757,3,2024-04-20,10:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAJA4327,2,2023-12-01,18:00,,brak komentarza
MCGUWO5365,5,2025-08-22,10:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCCYKA4128,3,2025-03-28,06:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCNEFO7895,5,2024-01-22,06:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCEMGR8096,5,2024-01-22,06:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAGA1396,3,2022-10-29,06:00,,brak komentarza
MCPIHE7442,4,2024-11-26,06:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCJOPO9842,7,2023-05-08,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJOPO9842,1,2022-09-29,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCGUWO5365,3,2024-01-31,16:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCRYPI3379,4,2022-10-12,08:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCJELA6854,6,2025-04-27,12:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMIFE5496,6,2025-04-27,12:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCELLI7149,3,2024-06-15,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMASE7757,6,2024-03-03,08:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIHE7442,5,2024-01-22,06:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCWIFR7199,5,2024-10-21,18:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCCYKA4128,8,2024-09-05,12:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAGA1396,1,2022-09-29,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCIDBA3843,3,2024-06-15,06:00,,brak komentarza
MCMIFE5496,3,2024-01-31,16:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAGA1396,5,2024-01-22,06:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCINDA9777,3,2022-10-29,06:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKAJA4327,1,2022-09-29,20:00,,brak komentarza
MCBAOS8378,2,2023-12-01,18:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAKI1955,1,2025-10-25,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKOSU5349,7,2024-10-23,20:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCJOPO9842,4,2024-02-03,18:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCALDU8256,3,2025-03-28,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCPIWI4136,2,2023-12-01,18:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCELLI7149,4,2022-10-12,08:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCERST2004,2,2023-12-01,18:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKOSU5349,3,2022-10-29,06:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCALDU8256,3,2024-06-15,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKAJA4327,5,2024-01-22,06:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCKAJA4327,2,2023-03-07,20:00,,brak komentarza
MCCYKA4128,3,2024-06-15,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKOSU5349,4,2022-10-12,08:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCINDA9777,8,2024-09-05,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCPIHE7442,2,2023-12-01,18:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCCYKA4128,8,2024-02-24,20:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMASE7757,3,2022-10-29,06:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCPIWI4136,6,2024-03-03,08:00,,brak komentarza
MCRYPI3379,5,2024-10-21,18:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCJOPO9842,6,2024-03-03,08:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCPIWI4136,4,2022-10-12,08:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCPIHE7442,2,2023-03-07,20:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCIDBA3843,4,2022-03-23,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCINDA9777,8,2022-01-02,18:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCPIWI4136,5,2024-10-21,18:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCARKA3268,8,2022-12-09,20:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKAJA4327,6,2024-03-03,08:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCWIWI7771,6,2025-04-27,12:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCEMGR8096,1,2022-09-29,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJELA6854,3,2025-03-28,06:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCERST2004,3,2022-10-29,06:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCNEFO7895,5,2025-04-14,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCWIWI7771,3,2022-10-29,06:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCPIWI4136,3,2024-06-15,06:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCWIWI7771,5,2022-05-09,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCELLI7149,4,2022-03-23,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCEMGR8096,5,2022-05-09,20:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCBAOS8378,6,2024-03-03,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCIDBA3843,8,2024-09-05,12:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCBAOS8378,4,2024-11-26,06:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCWIFR7199,4,2024-11-20,12:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMASE7757,8,2022-01-02,18:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCWIFR7199,2,2023-03-07,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCMIFE5496,2,2023-03-07,20:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCARGO2827,1,2025-10-25,10:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCCYKA4128,4,2022-03-23,20:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCEMGR8096,4,2024-02-03,18:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANDA1409,8,2025-09-21,10:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMAKI1955,4,2024-11-26,06:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCGRMA7751,3,2024-01-31,16:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCPIHE7442,1,2022-09-29,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCWIFR7199,5,2025-04-14,16:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCWIFR7199,3,2025-03-28,06:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCALDU8256,3,2024-04-20,10:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKOSU5349,4,2024-02-03,18:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCINDA9777,3,2025-03-28,06:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCEMGR8096,4,2024-05-20,18:00,,brak komentarza
MCMIFE5496,3,2024-06-15,06:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCELLI7149,5,2025-08-22,10:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCGAKY5838,6,2025-04-27,12:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCGUWO5365,3,2024-04-20,10:00,,brak komentarza
MCNEFO7895,6,2024-03-03,08:00,,brak komentarza
MCKAJA4327,7,2023-05-08,20:00,,brak komentarza
MCARGO2827,4,2024-05-20,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCARKA3268,6,2025-04-27,12:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCRYPI3379,6,2024-03-03,08:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCWIWI7771,3,2025-03-28,06:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCRYPI3379,5,2024-01-22,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCEMGR8096,8,2022-12-09,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMIFE5496,4,2022-10-12,08:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCWIWI7771,4,2024-11-20,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCALDU8256,8,2022-12-09,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCGRMA7751,5,2024-01-22,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCCYKA4128,5,2025-04-14,16:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCWIFR7199,4,2022-03-23,20:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCGAKY5838,5,2024-10-21,18:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCGAKY5838,4,2024-05-20,18:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCNEFO7895,3,2025-03-28,06:00,,brak komentarza
MCALDU8256,4,2024-02-03,18:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCALDU8256,4,2024-11-26,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCARKA3268,2,2023-03-07,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCMALA5804,6,2024-03-03,08:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIWI4136,7,2024-10-23,20:00,,brak komentarza
MCRYPI3379,3,2024-04-20,10:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCBIBU9931,2,2023-12-01,18:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCNEFO7895,3,2022-10-29,06:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCALDU8256,3,2024-01-31,16:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCGAKY5838,4,2024-11-26,06:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMALA5804,5,2024-01-22,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCERST2004,8,2025-09-21,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCIDBA3843,8,2025-09-21,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCCYKA4128,5,2024-10-21,18:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCWIFR7199,8,2022-01-02,18:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCRYPI3379,4,2024-11-26,06:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAJA4327,5,2025-04-14,16:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCWIFR7199,8,2025-09-21,10:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCERST2004,6,2024-03-03,08:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCJELA6854,4,2024-02-03,18:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCMIFE5496,5,2025-08-22,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMALA5804,2,2023-12-01,18:00,,brak komentarza
MCJELA6854,1,2025-10-25,10:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCKAJA4327,7,2024-12-18,18:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAGA1396,5,2022-05-09,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKAJA4327,4,2024-02-03,18:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCMIFE5496,4,2024-05-20,18:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCANDA1409,3,2024-04-20,10:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCBAOS8378,3,2024-06-15,06:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCNEFO7895,2,2023-03-07,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCBIBU9931,8,2022-12-09,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCWIFR7199,3,2022-10-29,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCGUWO5365,6,2025-04-27,12:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCERST2004,8,2022-12-09,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCALDU8256,5,2025-04-14,16:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCGAKY5838,7,2023-05-08,20:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCRYPI3379,3,2024-01-31,16:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCRYPI3379,4,2022-03-23,20:00,,brak komentarza
MCCYKA4128,3,2024-04-20,10:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCKOSU5349,3,2024-01-31,16:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIWI4136,2,2023-03-07,20:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCERST2004,3,2025-03-28,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCWIWI7771,8,2025-09-21,10:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCMALA5804,2,2023-03-07,20:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCARKA3268,7,2024-12-18,18:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCNEFO7895,8,2024-09-05,12:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCPIWI4136,8,2022-01-02,18:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCPIWI4136,4,2024-02-03,18:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCWIWI7771,1,2022-09-29,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCELLI7149,3,2024-04-20,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMIFE5496,1,2025-10-25,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCKOSU5349,4,2022-03-23,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
