ID_Data;Data;Rok;Miesiac;NumerMiesiaca;Dzien;DzienTygodnia;NumerDniaTygodnia;Weekend;Swieto;Wakacje
49;2022-02-18;2022;February;2;18;Friday;5;dzień pracujący;brak święta;brak wakacji
50;2022-02-19;2022;February;2;19;Saturday;6;weekend;brak święta;brak wakacji
51;2022-02-20;2022;February;2;20;Sunday;7;weekend;brak święta;brak wakacji
52;2022-02-21;2022;February;2;21;Monday;1;dzień pracujący;brak święta;brak wakacji
53;2022-02-22;2022;February;2;22;Tuesday;2;dzień pracujący;brak święta;brak wakacji
54;2022-02-23;2022;February;2;23;Wednesday;3;dzień pracujący;brak święta;brak wakacji
55;2022-02-24;2022;February;2;24;Thursday;4;dzień pracujący;brak święta;brak wakacji
56;2022-02-25;2022;February;2;25;Friday;5;dzień pracujący;brak święta;brak wakacji
57;2022-02-26;2022;February;2;26;Saturday;6;weekend;brak święta;brak wakacji
58;2022-02-27;2022;February;2;27;Sunday;7;weekend;brak święta;brak wakacji
59;2022-02-28;2022;February;2;28;Monday;1;dzień pracujący;brak święta;brak wakacji
60;2022-03-01;2022;March;3;1;Tuesday;2;dzień pracujący;brak święta;brak wakacji
61;2022-03-02;2022;March;3;2;Wednesday;3;dzień pracujący;brak święta;brak wakacji
62;2022-03-03;2022;March;3;3;Thursday;4;dzień pracujący;brak święta;brak wakacji
63;2022-03-04;2022;March;3;4;Friday;5;dzień pracujący;brak święta;brak wakacji
64;2022-03-05;2022;March;3;5;Saturday;6;weekend;brak święta;brak wakacji
65;2022-03-06;2022;March;3;6;Sunday;7;weekend;brak święta;brak wakacji
66;2022-03-07;2022;March;3;7;Monday;1;dzień pracujący;brak święta;brak wakacji
67;2022-03-08;2022;March;3;8;Tuesday;2;dzień pracujący;brak święta;brak wakacji
68;2022-03-09;2022;March;3;9;Wednesday;3;dzień pracujący;brak święta;brak wakacji
69;2022-03-10;2022;March;3;10;Thursday;4;dzień pracujący;brak święta;brak wakacji
70;2022-03-11;2022;March;3;11;Friday;5;dzień pracujący;brak święta;brak wakacji
71;2022-03-12;2022;March;3;12;Saturday;6;weekend;brak święta;brak wakacji
72;2022-03-13;2022;March;3;13;Sunday;7;weekend;brak święta;brak wakacji
73;2022-03-14;2022;March;3;14;Monday;1;dzień pracujący;brak święta;brak wakacji
74;2022-03-15;2022;March;3;15;Tuesday;2;dzień pracujący;brak święta;brak wakacji
75;2022-03-16;2022;March;3;16;Wednesday;3;dzień pracujący;brak święta;brak wakacji
76;2022-03-17;2022;March;3;17;Thursday;4;dzień pracujący;brak święta;brak wakacji
77;2022-03-18;2022;March;3;18;Friday;5;dzień pracujący;brak święta;brak wakacji
78;2022-03-19;2022;March;3;19;Saturday;6;weekend;brak święta;brak wakacji
79;2022-03-20;2022;March;3;20;Sunday;7;weekend;brak święta;brak wakacji
80;2022-03-21;2022;March;3;21;Monday;1;dzień pracujący;brak święta;brak wakacji
81;2022-03-22;2022;March;3;22;Tuesday;2;dzień pracujący;brak święta;brak wakacji
82;2022-03-23;2022;March;3;23;Wednesday;3;dzień pracujący;brak święta;brak wakacji
83;2022-03-24;2022;March;3;24;Thursday;4;dzień pracujący;brak święta;brak wakacji
84;2022-03-25;2022;March;3;25;Friday;5;dzień pracujący;brak święta;brak wakacji
85;2022-03-26;2022;March;3;26;Saturday;6;weekend;brak święta;brak wakacji
86;2022-03-27;2022;March;3;27;Sunday;7;weekend;brak święta;brak wakacji
87;2022-03-28;2022;March;3;28;Monday;1;dzień pracujący;brak święta;brak wakacji
88;2022-03-29;2022;March;3;29;Tuesday;2;dzień pracujący;brak święta;brak wakacji
89;2022-03-30;2022;March;3;30;Wednesday;3;dzień pracujący;brak święta;brak wakacji
90;2022-03-31;2022;March;3;31;Thursday;4;dzień pracujący;brak święta;brak wakacji
91;2022-04-01;2022;April;4;1;Friday;5;dzień pracujący;brak święta;brak wakacji
92;2022-04-02;2022;April;4;2;Saturday;6;weekend;brak święta;brak wakacji
93;2022-04-03;2022;April;4;3;Sunday;7;weekend;brak święta;brak wakacji
94;2022-04-04;2022;April;4;4;Monday;1;dzień pracujący;brak święta;brak wakacji
95;2022-04-05;2022;April;4;5;Tuesday;2;dzień pracujący;brak święta;brak wakacji
96;2022-04-06;2022;April;4;6;Wednesday;3;dzień pracujący;brak święta;brak wakacji
97;2022-04-07;2022;April;4;7;Thursday;4;dzień pracujący;brak święta;brak wakacji
98;2022-04-08;2022;April;4;8;Friday;5;dzień pracujący;brak święta;brak wakacji
99;2022-04-09;2022;April;4;9;Saturday;6;weekend;brak święta;brak wakacji
100;2022-04-10;2022;April;4;10;Sunday;7;weekend;brak święta;brak wakacji
101;2022-04-11;2022;April;4;11;Monday;1;dzień pracujący;brak święta;brak wakacji
102;2022-04-12;2022;April;4;12;Tuesday;2;dzień pracujący;brak święta;brak wakacji
103;2022-04-13;2022;April;4;13;Wednesday;3;dzień pracujący;brak święta;brak wakacji
104;2022-04-14;2022;April;4;14;Thursday;4;dzień pracujący;brak święta;brak wakacji
105;2022-04-15;2022;April;4;15;Friday;5;dzień pracujący;brak święta;brak wakacji
106;2022-04-16;2022;April;4;16;Saturday;6;weekend;brak święta;brak wakacji
107;2022-04-17;2022;April;4;17;Sunday;7;weekend;Wielkanoc;brak wakacji
108;2022-04-18;2022;April;4;18;Monday;1;dzień pracujący;Poniedziałek Wielkanocny;brak wakacji
109;2022-04-19;2022;April;4;19;Tuesday;2;dzień pracujący;brak święta;brak wakacji
110;2022-04-20;2022;April;4;20;Wednesday;3;dzień pracujący;brak święta;brak wakacji
111;2022-04-21;2022;April;4;21;Thursday;4;dzień pracujący;brak święta;brak wakacji
112;2022-04-22;2022;April;4;22;Friday;5;dzień pracujący;brak święta;brak wakacji
113;2022-04-23;2022;April;4;23;Saturday;6;weekend;brak święta;brak wakacji
114;2022-04-24;2022;April;4;24;Sunday;7;weekend;brak święta;brak wakacji
115;2022-04-25;2022;April;4;25;Monday;1;dzień pracujący;brak święta;brak wakacji
116;2022-04-26;2022;April;4;26;Tuesday;2;dzień pracujący;brak święta;brak wakacji
117;2022-04-27;2022;April;4;27;Wednesday;3;dzień pracujący;brak święta;brak wakacji
118;2022-04-28;2022;April;4;28;Thursday;4;dzień pracujący;brak święta;brak wakacji
119;2022-04-29;2022;April;4;29;Friday;5;dzień pracujący;brak święta;brak wakacji
120;2022-04-30;2022;April;4;30;Saturday;6;weekend;brak święta;brak wakacji
121;2022-05-01;2022;May;5;1;Sunday;7;weekend;Święto Pracy;brak wakacji
122;2022-05-02;2022;May;5;2;Monday;1;dzień pracujący;brak święta;brak wakacji
123;2022-05-03;2022;May;5;3;Tuesday;2;dzień pracujący;Święto Konstytucji 3 Maja;brak wakacji
124;2022-05-04;2022;May;5;4;Wednesday;3;dzień pracujący;brak święta;brak wakacji
125;2022-05-05;2022;May;5;5;Thursday;4;dzień pracujący;brak święta;brak wakacji
126;2022-05-06;2022;May;5;6;Friday;5;dzień pracujący;brak święta;brak wakacji
127;2022-05-07;2022;May;5;7;Saturday;6;weekend;brak święta;brak wakacji
128;2022-05-08;2022;May;5;8;Sunday;7;weekend;brak święta;brak wakacji
129;2022-05-09;2022;May;5;9;Monday;1;dzień pracujący;brak święta;brak wakacji
130;2022-05-10;2022;May;5;10;Tuesday;2;dzień pracujący;brak święta;brak wakacji
131;2022-05-11;2022;May;5;11;Wednesday;3;dzień pracujący;brak święta;brak wakacji
132;2022-05-12;2022;May;5;12;Thursday;4;dzień pracujący;brak święta;brak wakacji
133;2022-05-13;2022;May;5;13;Friday;5;dzień pracujący;brak święta;brak wakacji
134;2022-05-14;2022;May;5;14;Saturday;6;weekend;brak święta;brak wakacji
135;2022-05-15;2022;May;5;15;Sunday;7;weekend;brak święta;brak wakacji
136;2022-05-16;2022;May;5;16;Monday;1;dzień pracujący;brak święta;brak wakacji
137;2022-05-17;2022;May;5;17;Tuesday;2;dzień pracujący;brak święta;brak wakacji
138;2022-05-18;2022;May;5;18;Wednesday;3;dzień pracujący;brak święta;brak wakacji
139;2022-05-19;2022;May;5;19;Thursday;4;dzień pracujący;brak święta;brak wakacji
140;2022-05-20;2022;May;5;20;Friday;5;dzień pracujący;brak święta;brak wakacji
141;2022-05-21;2022;May;5;21;Saturday;6;weekend;brak święta;brak wakacji
142;2022-05-22;2022;May;5;22;Sunday;7;weekend;brak święta;brak wakacji
143;2022-05-23;2022;May;5;23;Monday;1;dzień pracujący;brak święta;brak wakacji
144;2022-05-24;2022;May;5;24;Tuesday;2;dzień pracujący;brak święta;brak wakacji
145;2022-05-25;2022;May;5;25;Wednesday;3;dzień pracujący;brak święta;brak wakacji
146;2022-05-26;2022;May;5;26;Thursday;4;dzień pracujący;brak święta;brak wakacji
147;2022-05-27;2022;May;5;27;Friday;5;dzień pracujący;brak święta;brak wakacji
148;2022-05-28;2022;May;5;28;Saturday;6;weekend;brak święta;brak wakacji
149;2022-05-29;2022;May;5;29;Sunday;7;weekend;brak święta;brak wakacji
150;2022-05-30;2022;May;5;30;Monday;1;dzień pracujący;brak święta;brak wakacji
151;2022-05-31;2022;May;5;31;Tuesday;2;dzień pracujący;brak święta;brak wakacji
152;2022-06-01;2022;June;6;1;Wednesday;3;dzień pracujący;brak święta;brak wakacji
153;2022-06-02;2022;June;6;2;Thursday;4;dzień pracujący;brak święta;brak wakacji
154;2022-06-03;2022;June;6;3;Friday;5;dzień pracujący;brak święta;brak wakacji
155;2022-06-04;2022;June;6;4;Saturday;6;weekend;brak święta;brak wakacji
156;2022-06-05;2022;June;6;5;Sunday;7;weekend;Zielone Świątki;brak wakacji
157;2022-06-06;2022;June;6;6;Monday;1;dzień pracujący;brak święta;brak wakacji
158;2022-06-07;2022;June;6;7;Tuesday;2;dzień pracujący;brak święta;brak wakacji
159;2022-06-08;2022;June;6;8;Wednesday;3;dzień pracujący;brak święta;brak wakacji
160;2022-06-09;2022;June;6;9;Thursday;4;dzień pracujący;brak święta;brak wakacji
161;2022-06-10;2022;June;6;10;Friday;5;dzień pracujący;brak święta;brak wakacji
162;2022-06-11;2022;June;6;11;Saturday;6;weekend;brak święta;brak wakacji
163;2022-06-12;2022;June;6;12;Sunday;7;weekend;brak święta;brak wakacji
164;2022-06-13;2022;June;6;13;Monday;1;dzień pracujący;brak święta;brak wakacji
165;2022-06-14;2022;June;6;14;Tuesday;2;dzień pracujący;brak święta;brak wakacji
166;2022-06-15;2022;June;6;15;Wednesday;3;dzień pracujący;brak święta;brak wakacji
167;2022-06-16;2022;June;6;16;Thursday;4;dzień pracujący;Boże Ciało;brak wakacji
168;2022-06-17;2022;June;6;17;Friday;5;dzień pracujący;brak święta;brak wakacji
169;2022-06-18;2022;June;6;18;Saturday;6;weekend;brak święta;brak wakacji
170;2022-06-19;2022;June;6;19;Sunday;7;weekend;brak święta;brak wakacji
171;2022-06-20;2022;June;6;20;Monday;1;dzień pracujący;brak święta;brak wakacji
172;2022-06-21;2022;June;6;21;Tuesday;2;dzień pracujący;brak święta;brak wakacji
173;2022-06-22;2022;June;6;22;Wednesday;3;dzień pracujący;brak święta;brak wakacji
174;2022-06-23;2022;June;6;23;Thursday;4;dzień pracujący;brak święta;brak wakacji
175;2022-06-24;2022;June;6;24;Friday;5;dzień pracujący;brak święta;brak wakacji
176;2022-06-25;2022;June;6;25;Saturday;6;weekend;brak święta;brak wakacji
177;2022-06-26;2022;June;6;26;Sunday;7;weekend;brak święta;brak wakacji
178;2022-06-27;2022;June;6;27;Monday;1;dzień pracujący;brak święta;brak wakacji
179;2022-06-28;2022;June;6;28;Tuesday;2;dzień pracujący;brak święta;brak wakacji
180;2022-06-29;2022;June;6;29;Wednesday;3;dzień pracujący;brak święta;brak wakacji
181;2022-06-30;2022;June;6;30;Thursday;4;dzień pracujący;brak święta;brak wakacji
182;2022-07-01;2022;July;7;1;Friday;5;dzień pracujący;brak święta;wakacje letnie
183;2022-07-02;2022;July;7;2;Saturday;6;weekend;brak święta;wakacje letnie
184;2022-07-03;2022;July;7;3;Sunday;7;weekend;brak święta;wakacje letnie
185;2022-07-04;2022;July;7;4;Monday;1;dzień pracujący;brak święta;wakacje letnie
186;2022-07-05;2022;July;7;5;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
187;2022-07-06;2022;July;7;6;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
188;2022-07-07;2022;July;7;7;Thursday;4;dzień pracujący;brak święta;wakacje letnie
189;2022-07-08;2022;July;7;8;Friday;5;dzień pracujący;brak święta;wakacje letnie
190;2022-07-09;2022;July;7;9;Saturday;6;weekend;brak święta;wakacje letnie
191;2022-07-10;2022;July;7;10;Sunday;7;weekend;brak święta;wakacje letnie
192;2022-07-11;2022;July;7;11;Monday;1;dzień pracujący;brak święta;wakacje letnie
193;2022-07-12;2022;July;7;12;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
194;2022-07-13;2022;July;7;13;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
195;2022-07-14;2022;July;7;14;Thursday;4;dzień pracujący;brak święta;wakacje letnie
196;2022-07-15;2022;July;7;15;Friday;5;dzień pracujący;brak święta;wakacje letnie
197;2022-07-16;2022;July;7;16;Saturday;6;weekend;brak święta;wakacje letnie
198;2022-07-17;2022;July;7;17;Sunday;7;weekend;brak święta;wakacje letnie
199;2022-07-18;2022;July;7;18;Monday;1;dzień pracujący;brak święta;wakacje letnie
200;2022-07-19;2022;July;7;19;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
201;2022-07-20;2022;July;7;20;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
202;2022-07-21;2022;July;7;21;Thursday;4;dzień pracujący;brak święta;wakacje letnie
203;2022-07-22;2022;July;7;22;Friday;5;dzień pracujący;brak święta;wakacje letnie
204;2022-07-23;2022;July;7;23;Saturday;6;weekend;brak święta;wakacje letnie
205;2022-07-24;2022;July;7;24;Sunday;7;weekend;brak święta;wakacje letnie
206;2022-07-25;2022;July;7;25;Monday;1;dzień pracujący;brak święta;wakacje letnie
207;2022-07-26;2022;July;7;26;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
208;2022-07-27;2022;July;7;27;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
209;2022-07-28;2022;July;7;28;Thursday;4;dzień pracujący;brak święta;wakacje letnie
210;2022-07-29;2022;July;7;29;Friday;5;dzień pracujący;brak święta;wakacje letnie
211;2022-07-30;2022;July;7;30;Saturday;6;weekend;brak święta;wakacje letnie
212;2022-07-31;2022;July;7;31;Sunday;7;weekend;brak święta;wakacje letnie
213;2022-08-01;2022;August;8;1;Monday;1;dzień pracujący;brak święta;wakacje letnie
214;2022-08-02;2022;August;8;2;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
215;2022-08-03;2022;August;8;3;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
216;2022-08-04;2022;August;8;4;Thursday;4;dzień pracujący;brak święta;wakacje letnie
217;2022-08-05;2022;August;8;5;Friday;5;dzień pracujący;brak święta;wakacje letnie
218;2022-08-06;2022;August;8;6;Saturday;6;weekend;brak święta;wakacje letnie
219;2022-08-07;2022;August;8;7;Sunday;7;weekend;brak święta;wakacje letnie
220;2022-08-08;2022;August;8;8;Monday;1;dzień pracujący;brak święta;wakacje letnie
221;2022-08-09;2022;August;8;9;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
222;2022-08-10;2022;August;8;10;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
223;2022-08-11;2022;August;8;11;Thursday;4;dzień pracujący;brak święta;wakacje letnie
224;2022-08-12;2022;August;8;12;Friday;5;dzień pracujący;brak święta;wakacje letnie
225;2022-08-13;2022;August;8;13;Saturday;6;weekend;brak święta;wakacje letnie
226;2022-08-14;2022;August;8;14;Sunday;7;weekend;brak święta;wakacje letnie
227;2022-08-15;2022;August;8;15;Monday;1;dzień pracujący;Wniebowstąpienie NMP;wakacje letnie
228;2022-08-16;2022;August;8;16;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
229;2022-08-17;2022;August;8;17;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
230;2022-08-18;2022;August;8;18;Thursday;4;dzień pracujący;brak święta;wakacje letnie
231;2022-08-19;2022;August;8;19;Friday;5;dzień pracujący;brak święta;wakacje letnie
232;2022-08-20;2022;August;8;20;Saturday;6;weekend;brak święta;wakacje letnie
233;2022-08-21;2022;August;8;21;Sunday;7;weekend;brak święta;wakacje letnie
234;2022-08-22;2022;August;8;22;Monday;1;dzień pracujący;brak święta;wakacje letnie
235;2022-08-23;2022;August;8;23;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
236;2022-08-24;2022;August;8;24;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
237;2022-08-25;2022;August;8;25;Thursday;4;dzień pracujący;brak święta;wakacje letnie
238;2022-08-26;2022;August;8;26;Friday;5;dzień pracujący;brak święta;wakacje letnie
239;2022-08-27;2022;August;8;27;Saturday;6;weekend;brak święta;wakacje letnie
240;2022-08-28;2022;August;8;28;Sunday;7;weekend;brak święta;wakacje letnie
241;2022-08-29;2022;August;8;29;Monday;1;dzień pracujący;brak święta;wakacje letnie
242;2022-08-30;2022;August;8;30;Tuesday;2;dzień pracujący;brak święta;wakacje letnie
243;2022-08-31;2022;August;8;31;Wednesday;3;dzień pracujący;brak święta;wakacje letnie
244;2022-09-01;2022;September;9;1;Thursday;4;dzień pracujący;brak święta;brak wakacji
245;2022-09-02;2022;September;9;2;Friday;5;dzień pracujący;brak święta;brak wakacji
246;2022-09-03;2022;September;9;3;Saturday;6;weekend;brak święta;brak wakacji
247;2022-09-04;2022;September;9;4;Sunday;7;weekend;brak święta;brak wakacji
248;2022-09-05;2022;September;9;5;Monday;1;dzień pracujący;brak święta;brak wakacji
249;2022-09-06;2022;September;9;6;Tuesday;2;dzień pracujący;brak święta;brak wakacji
250;2022-09-07;2022;September;9;7;Wednesday;3;dzień pracujący;brak święta;brak wakacji
251;2022-09-08;2022;September;9;8;Thursday;4;dzień pracujący;brak święta;brak wakacji
252;2022-09-09;2022;September;9;9;Friday;5;dzień pracujący;brak święta;brak wakacji
253;2022-09-10;2022;September;9;10;Saturday;6;weekend;brak święta;brak wakacji
254;2022-09-11;2022;September;9;11;Sunday;7;weekend;brak święta;brak wakacji
255;2022-09-12;2022;September;9;12;Monday;1;dzień pracujący;brak święta;brak wakacji
256;2022-09-13;2022;September;9;13;Tuesday;2;dzień pracujący;brak święta;brak wakacji
257;2022-09-14;2022;September;9;14;Wednesday;3;dzień pracujący;brak święta;brak wakacji
258;2022-09-15;2022;September;9;15;Thursday;4;dzień pracujący;brak święta;brak wakacji
259;2022-09-16;2022;September;9;16;Friday;5;dzień pracujący;brak święta;brak wakacji
260;2022-09-17;2022;September;9;17;Saturday;6;weekend;brak święta;brak wakacji
261;2022-09-18;2022;September;9;18;Sunday;7;weekend;brak święta;brak wakacji
262;2022-09-19;2022;September;9;19;Monday;1;dzień pracujący;brak święta;brak wakacji
263;2022-09-20;2022;September;9;20;Tuesday;2;dzień pracujący;brak święta;brak wakacji
264;2022-09-21;2022;September;9;21;Wednesday;3;dzień pracujący;brak święta;brak wakacji
265;2022-09-22;2022;September;9;22;Thursday;4;dzień pracujący;brak święta;brak wakacji
266;2022-09-23;2022;September;9;23;Friday;5;dzień pracujący;brak święta;brak wakacji
267;2022-09-24;2022;September;9;24;Saturday;6;weekend;brak święta;brak wakacji
268;2022-09-25;2022;September;9;25;Sunday;7;weekend;brak święta;brak wakacji
269;2022-09-26;2022;September;9;26;Monday;1;dzień pracujący;brak święta;brak wakacji
270;2022-09-27;2022;September;9;27;Tuesday;2;dzień pracujący;brak święta;brak wakacji
271;2022-09-28;2022;September;9;28;Wednesday;3;dzień pracujący;brak święta;brak wakacji
272;2022-09-29;2022;September;9;29;Thursday;4;dzień pracujący;brak święta;brak wakacji
273;2022-09-30;2022;September;9;30;Friday;5;dzień pracujący;brak święta;brak wakacji
274;2022-10-01;2022;October;10;1;Saturday;6;weekend;brak święta;brak wakacji
275;2022-10-02;2022;October;10;2;Sunday;7;weekend;brak święta;brak wakacji
276;2022-10-03;2022;October;10;3;Monday;1;dzień pracujący;brak święta;brak wakacji
277;2022-10-04;2022;October;10;4;Tuesday;2;dzień pracujący;brak święta;brak wakacji
278;2022-10-05;2022;October;10;5;Wednesday;3;dzień pracujący;brak święta;brak wakacji
279;2022-10-06;2022;October;10;6;Thursday;4;dzień pracujący;brak święta;brak wakacji
280;2022-10-07;2022;October;10;7;Friday;5;dzień pracujący;brak święta;brak wakacji
281;2022-10-08;2022;October;10;8;Saturday;6;weekend;brak święta;brak wakacji
282;2022-10-09;2022;October;10;9;Sunday;7;weekend;brak święta;brak wakacji
283;2022-10-10;2022;October;10;10;Monday;1;dzień pracujący;brak święta;brak wakacji
284;2022-10-11;2022;October;10;11;Tuesday;2;dzień pracujący;brak święta;brak wakacji
285;2022-10-12;2022;October;10;12;Wednesday;3;dzień pracujący;brak święta;brak wakacji
286;2022-10-13;2022;October;10;13;Thursday;4;dzień pracujący;brak święta;brak wakacji
287;2022-10-14;2022;October;10;14;Friday;5;dzień pracujący;brak święta;brak wakacji
288;2022-10-15;2022;October;10;15;Saturday;6;weekend;brak święta;brak wakacji
289;2022-10-16;2022;October;10;16;Sunday;7;weekend;brak święta;brak wakacji
290;2022-10-17;2022;October;10;17;Monday;1;dzień pracujący;brak święta;brak wakacji
291;2022-10-18;2022;October;10;18;Tuesday;2;dzień pracujący;brak święta;brak wakacji
292;2022-10-19;2022;October;10;19;Wednesday;3;dzień pracujący;brak święta;brak wakacji
293;2022-10-20;2022;October;10;20;Thursday;4;dzień pracujący;brak święta;brak wakacji
294;2022-10-21;2022;October;10;21;Friday;5;dzień pracujący;brak święta;brak wakacji
295;2022-10-22;2022;October;10;22;Saturday;6;weekend;brak święta;brak wakacji
296;2022-10-23;2022;October;10;23;Sunday;7;weekend;brak święta;brak wakacji
297;2022-10-24;2022;October;10;24;Monday;1;dzień pracujący;brak święta;brak wakacji
298;2022-10-25;2022;October;10;25;Tuesday;2;dzień pracujący;brak święta;brak wakacji
299;2022-10-26;2022;October;10;26;Wednesday;3;dzień pracujący;brak święta;brak wakacji
300;2022-10-27;2022;October;10;27;Thursday;4;dzień pracujący;brak święta;brak wakacji
301;2022-10-28;2022;October;10;28;Friday;5;dzień pracujący;brak święta;brak wakacji
302;2022-10-29;2022;October;10;29;Saturday;6;weekend;brak święta;brak wakacji
303;2022-10-30;2022;October;10;30;Sunday;7;weekend;brak święta;brak wakacji
304;2022-10-31;2022;October;10;31;Monday;1;dzień pracujący;brak święta;brak wakacji
305;2022-11-01;2022;November;11;1;Tuesday;2;dzień pracujący;Wszystkich Świętych;brak wakacji
306;2022-11-02;2022;November;11;2;Wednesday;3;dzień pracujący;brak święta;brak wakacji
307;2022-11-03;2022;November;11;3;Thursday;4;dzień pracujący;brak święta;brak wakacji
308;2022-11-04;2022;November;11;4;Friday;5;dzień pracujący;brak święta;brak wakacji
309;2022-11-05;2022;November;11;5;Saturday;6;weekend;brak święta;brak wakacji
310;2022-11-06;2022;November;11;6;Sunday;7;weekend;brak święta;brak wakacji
311;2022-11-07;2022;November;11;7;Monday;1;dzień pracujący;brak święta;brak wakacji
312;2022-11-08;2022;November;11;8;Tuesday;2;dzień pracujący;brak święta;brak wakacji
